from;to;prio;layer
2;42;1;l3
1;42;1;l3
3;59;1;l3
4;7;1;l3
7;56;1;l3
8;15;1;l3
9;13;1;l3
10;15;1;l3
11;15;1;l3
12;15;1;l3
13;15;1;l3
14;2;1;l3
15;16;1;l3
16;15;1;l3
17;15;1;l3
18;12;1;l3
19;51;1;l3
20;62;1;l3
21;10;1;l3
22;34;1;l3
23;39;1;l3
25;15;1;l3
26;42;1;l3
27;30;1;l3
28;38;1;l3
29;34;1;l3
30;15;1;l3
31;15;1;l3
32;51;1;l3
33;27;1;l3
34;39;1;l3
36;32;1;l3
38;15;1;l3
37;12;1;l3
40;30;1;l3
42;12;1;l3
43;18;1;l3
44;42;1;l3
45;1;1;l3
47;18;1;l3
49;38;1;l3
52;11;1;l3
51;39;1;l3
53;15;1;l3
54;61;1;l3
56;12;1;l3
57;56;1;l3
59;15;1;l3
60;16;1;l3
61;1;1;l3
62;40;1;l3
64;53;1;l3
66;30;1;l3
65;56;1;l3
67;18;1;l3
2;30;1;l3
1;10;1;l3
3;6;1;l3
4;5;1;l3
7;26;1;l3
8;16;1;l3
9;34;1;l3
10;7;1;l3
11;10;1;l3
12;16;1;l3
13;16;1;l3
15;12;1;l3
16;12;1;l3
17;16;1;l3
18;59;1;l3
19;39;1;l3
21;26;1;l3
22;29;1;l3
23;36;1;l3
25;16;1;l3
26;12;1;l3
27;33;1;l3
28;50;1;l3
29;3;1;l3
30;59;1;l3
31;7;1;l3
32;55;1;l3
33;66;1;l3
36;39;1;l3
38;25;1;l3
37;15;1;l3
40;59;1;l3
42;15;1;l3
43;67;1;l3
44;10;1;l3
45;61;1;l3
47;43;1;l3
49;1;1;l3
53;16;1;l3
54;1;1;l3
56;30;1;l3
57;7;1;l3
59;39;1;l3
60;15;1;l3
61;10;1;l3
62;20;1;l3
66;27;1;l3
65;7;1;l3
2;27;1;l3
1;30;1;l3
3;11;1;l3
4;56;1;l3
7;21;1;l3
8;42;1;l3
9;39;1;l3
10;39;1;l3
12;59;1;l3
16;13;1;l3
17;12;1;l3
18;30;1;l3
19;11;1;l3
21;42;1;l3
22;3;1;l3
